Name,1,2,3,5,1_1,6,7,7b,19,21a,21b,21c,Tested By,Known Issues
Fable,in-game,in-game,supported,playable,in-game,in-game,playable,in-game,untested,untested,untested,untested,"Mr.SuS.60, Nonstopmaximum","xefu : low framerate 
xefu2 : low framerate
xefu3 : better framerate with drops in some areas
xefu5 : better framerate with drops in some areas
xefu1_1 : bad framerate
xefu6 : low framerate  
xefu7 : better framerate with drops in some areas
xefu7b : low framerate

Demos doesn't work in any Xefu version"
Fable: The Lost Chapters,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,Unknown,None
Fallout: Brotherhood of Steel,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,unplayable,willindiana,"Gets Error ""There is a problem with the disc you're using."" on Xefu7b"
Family Guy,untested,untested,untested,supported,untested,untested,playable,untested,untested,untested,untested,untested,/u/DaCukiMonsta,None
Fantastic 4,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
Far Cry Instincts,untested,untested,untested,untested,untested,supported,playable,untested,untested,untested,untested,untested,ItsAshleyFTW,None
Far Cry Instincts Evolution,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,martincv,Freeze at first level. Use cheat code GiveMeTheMaps to skip first level
Fatal Frame II: Crimson Butterfly Director’s Cut,untested,untested,untested,supported,untested,untested,playable,untested,untested,untested,untested,untested,Morrigan0001,None
Fatal Frame: Special Edition,playable,untested,supported,untested,untested,untested,playable,untested,untested,untested,untested,playable,"LazyIllusion, Morrigan0001","The pal version ""Project Zero"" works fine despite being unsupported (Unknown if the japanese version is or not) when a ghost introduction cutscene plays the game goes to a black screen but they can be skipped possibly more issues."
FIFA Soccer 07,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,u/stickvenezuela,"Blue bars on HUD, laggy at 720p. Play on 480p."
FIFA Soccer 06,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
FIFA Soccer 2003,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,Choppy sound
FIFA Soccer 2004,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
FIFA Soccer 2005,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,ItsAshleyFTW,None
FIFA Street,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,ItsAshleyFTW,"FMVs and loading screens are a little squished, game still plays perfectly."
FIFA Street 2,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
FIFA World Cup: Germany 2006,untested,untested,untested,supported,untested,untested,playable,untested,untested,untested,untested,untested,Stikmars,None
Fight Club,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Fight Night 2004,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Gustavo_margutti,Tested with a NTSC copy on a NTSC console. Plays great.
Fight Night Round 2,untested,untested,untested,untested,untested,untested,intro,untested,untested,untested,untested,untested,Unknown,Freeze at loading screen
Fight Night Round 3,untested,untested,untested,untested,untested,supported,playable,untested,untested,untested,untested,untested,/u/RDR007,None
FILA World Tour Tennis,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Final Fight: Streetwise,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Sunnie64,None
Fire Blade,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Unknown,Graphical issues
FlatOut,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,playable,"RollPlayStation, Persephone the Sheep",None
FlatOut 2,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,AVileDream,Game sometimes crashes on Start-Up. Some stunt games freezing after first attempt.
Flight Academy,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Ford Bold Moves Street Racing,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Imadummy,Game crashes if you try to skip the Empire intro. It will run fine after it plays out
Ford Mustang: The Legend Lives,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Ford Racing 2,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Unknown,Only HUD visible
Ford Racing 3,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Ford vs. Chevy,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Forgotten Realms: Demon Stone,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Morrigan0001,None
Forza Motorsport,playable,playable,supported,playable,playable,playable,playable,playable,playable,playable,playable,playable,"Nonstopmaximum, OddbOd, Wolf",Occasional audio glitches. Saves must be re-signed if used on a different console.
Frankie Dettori Racing,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Freaky Flyers,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,Frame rate drops here and there.
Free Fall 3050 AD (Unreleased),in-game,in-game,in-game,playable,in-game,playable,unplayable,unplayable,playable,playable,playable,playable,Wolf,"In xefu 1, 2, 3, and 1_1, the game's sound is glitched. FMVs lag in xefu 1 and 1_1. Game crashes on startup with xefu7/7b."
Freedom Fighters,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,unplayable,"Stikmars, HERSXYBACON",Not working with xefu7 and xefu2021c in combination with xefu spoofer v3.
Freestyle Metal X,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Freestyle Street Soccer,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,Sound issues
Frogger Beyond,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Frogger: Ancient Shadow,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,"/u/maty15987, RollPlayStation",None
From Russia With Love : 007,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,playable,LazyIllusion,Major slowdown making it unplayable graphical issue covering half of the screen too
Fuel,untested,untested,untested,untested,untested,untested,menus,untested,untested,untested,untested,untested,szymmirr,Hangs after picking quick race or tournament
Full Spectrum Warrior,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Stikmars,None
Full Spectrum Warrior: Ten Hammers,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
Furious Karting,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,@MathuwsGamerMW,"It only works with the Xbox 360 set to 480p resolution, otherwise the game will be left with a black screen after the initial cutscene."
Futurama,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/maty15987,None
Future Tactics: The Uprising,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Stikmars,None
Fuzion Frenzy,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,RollPlayStation,None
Galacy Angel,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Galleon: Islands of Mystery,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Unknown,"Text, subtitles issues"
Gauntlet Dark Legacy,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,simbin,"Deleting the .wmv files in the MOVIES folder fixes the screen glitches during gameplay. While the game still lags in the main tower area, as it always has, it otherwise runs flawlessly on xefu2021c."
Gauntlet: Seven Sorrows,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Gene Troopers,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,Graphical issues
Genma Onimusha,supported,playable,playable,playable,playable,playable,playable,untested,untested,untested,untested,untested,Morrigan0001,None
Ghost Master: The Gravenville Chronicles,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Gladiator: Sword of Vengeance,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Unknown,Freeze at loading screen / shadow issues
Gladius,untested,untested,untested,untested,untested,untested,untested,unplayable,unplayable,unplayable,unplayable,unplayable,Derf,Freeze at loading screen or infinite loading screen. Came bundled with xefu2021b on Xbox One.
Goblin Commander: Unleash the Horde,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Godzilla: Destroy All Monsters Melee,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,"/u/maty15987, RollPlayStation","Xefu7 is supported, but has framerate issues."
Godzilla: Save the Earth,untested,untested,untested,untested,untested,untested,supported,playable,unplayable,unplayable,unplayable,unplayable,@oreos420#6530,None
GoldenEye: Rogue Agent,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,RollPlayStation,None
Gotcha!,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,@JohnVeness#7994,Cosmetic glitch in the menu when choosing a New League.
Grabbed by the Ghoulies,untested,untested,supported,untested,untested,untested,playable,untested,intro,untested,untested,intro,Sunnie64,None
Grand Theft Auto III,supported,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,"Nonstopmaximum, Fusionbaked, Rusty9q1(Xbox360), Wolf",Low framerate in heavy traffic areas. Resolutions higher than 480p are distorted. Custom radio is not supported. Game runs flawlessly on xefu2021c.
Grand Theft Auto: San Andreas,supported,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,"Nonstopmaximum, Fusionbaked, Wolf","Graphical glitches and artifacts in several areas and cutscenes. Audio issues including sound becoming lower or entirely silent (except for the menu) when in certain areas or during explosions, gunfire has sound issues which is noticeable with automatic weapons, and sound can sometimes skip with lip sync being off during cutscenes. Custom radio is not supported. Audio issues are gone and game runs flawlessly on xefu2021c."
Grand Theft Auto: Vice City,supported,playable,playable,playable,playable,playable,playable,playable,untested,untested,untested,playable,"Nonstopmaximum, Fusionbaked, Rusty9q1(Xbox360), Gora",Low framerate in heavy traffic areas. Resolutions higher than 480p are distorted. Custom radio is not supported. Game runs flawlessly on xefu2021c. Some reports that Vice City version with code [54540073] freezes at Xbox logo with error popup on xefu2021c.
Gravity Games Bike: Street Vert Dirt,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Greg Hastings’ Tournament Paintball,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Greg Hastings’ Tournament Paintball Max’d,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
Grooverider Slot Car Thunder,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,ItsAshleyFTW,None
Group S Challenge,untested,untested,untested,untested,untested,untested,intro,untested,untested,untested,untested,untested,Stikmars,Crashes and reboots console when starting a race.
Guilty Gear Isuka,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,/u/maty15987,None
Guilty Gear X2 #Reload,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,ItsAshleyFTW,None
Gun,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Gunvalkyrie,untested,in-game,untested,untested,untested,in-game,in-game,untested,in-game,in-game,untested,in-game,"Believer40, szymmirr, drakarthus","In Xefu2 and Xefu6, everything seems normal until you actually get into the game, a very loud buzzing noise plays the moment you get into the tutorial. In Xefu 7, The game starts up fine, and plays great until the point in the tutorial where you must boost dash with L3, which doesn't work. You can use an existing save file to skip the tutorial. Same issue on xefu2019 and xefu2021a. Xefu2021c sort of works - you CAN boost dash with L3, but the entire screen turns solid red while you're dashing forward, making it far from ideal for playing; happens both on the NTSC and PAL versions. Came with xefu2021a on Xbox One. USA version save"
Gun Metal,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Unknown,Low FPS
GunGriffon: Allied Strike,untested,untested,untested,untested,untested,untested,intro,untested,untested,untested,untested,untested,Unknown,Black screen after tecmo intro
Half-Life 2,untested,untested,untested,supported,playable,playable,playable,playable,unplayable,unplayable,unplayable,unplayable,"Segeb, RollPlayStation",This game does not play on PAL-60 televisions with composite cabling. This does not affect PAL-50 televisions. Screen corruption in attract mode will occur after the console has been idle for a long period of time.
Halo 2,playable,playable,playable,playable,supported,playable,playable,playable,playable,playable,playable,playable,"Wolf, Morrigan0001","Performance problems while playing on the Backwash map. Occasionally the player may observe ""ghost"" images displayed on the screen; a workaround for this issue is to return to the Dashboard and restart the game."
Halo 2 Multiplayer Map Pack,supported,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,"Wolf, Morrigan0001",None
Halo: Combat Evolved,supported,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,playable,"Wolf, Morrigan0001",None
Hamsterball (Xbox Live Arcade),in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,Wolf,"If launching from the Xbox Live Arcade menu, you may get a content package error. You can run the game from the individual xbe (default.bin renamed to default.xbe).
If running the game from the xbe, the music and sounds are off by default but can be re-enabled in the settings. Low framerate in some areas of races."
Harry Potter and the Goblet of Fire,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/maty15987,None
Harry Potter and the Chamber of Secrets,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,/u/maty15987,"Xefu7 is officially supported, but game runs at very low framerate."
Harry Potter and the Prisoner of Azkaban,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,"LazyIllusion, RollPlayStation","An occasional hard lock occurs when switching to cut scenes. Occasionally, enemies will become stuck in a loop or just stuck to the environment."
Harry Potter and the Sorcerer’s Stone,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/maty15987,None
Harry Potter: Quidditch World Cup,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/maty15987,Delete all .tgq Movie files to play
Headhunter: Redemption,untested,untested,untested,untested,untested,untested,menus,untested,untested,untested,untested,untested,Unknown,Fatal crash while loading first level
Hello Kitty: Roller Rescue,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/maty15987,"Hud issues in 16:9, properly working in 480p 4:3"
He-Man Defender of Grayskull (proto),playable,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,Imadummy,"Xefu freezes at Xbox logo but a fix would be to set the resolution to 480p, the game has some graphical issues but it’s playable. In Xefu7, Fatal Crash intercepts repeatedly. You need to turn off console to go back to dashboard"
Heroes of the Pacific,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,Low FPS at cutscenes and in game at some areas
High Heat Major League Baseball 2004,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
High Rollers Casino,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Hitman 2: Silent Assassin,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,playable,Sunnie64,"Textures fail to load at times displaying as pitch black, On Xefu2021c texture issue seems to be fixed"
Hitman: Blood Money,menus,menus,untested,untested,menus,untested,menus,untested,untested,untested,untested,menus,Sunnie64,"Stuttering fmvs except xefu 2019, models in the main menu are glitched, crashes to xbox logo for some xefus and for some on a black screen"
Hitman: Contracts,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,LazyIllusion,None
Hot Wheels: Stunt Track Challenge,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,playable,"Unknown, Persephone the Sheep","None. On xefu2021c video can stutter and some long load times, Systemlink play doesn't work to original xbox"
Hulk,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Hummer Badlands,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Hunter: The Reckoning,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,subrussian,No issues
Hunter: The Reckoning Redeemer,untested,untested,untested,untested,untested,untested,menus,untested,untested,untested,untested,untested,LazyIllusion,Disc read error when starting a new game
Ice Age 2: The Meltdown,untested,untested,untested,untested,playable,untested,playable,untested,untested,untested,untested,untested,Unknown,None
IHRA Drag Racing 2004,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Imadummy,Low framerate during races
IHRA Drag Racing: Sportsman Edition,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,ItsAshleyFTW,None
IHRA Professional Drag Racing 2005,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Imadummy,None
Indiana Jones and the Emperor’s Tomb,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,RollPlayStation,None
Indigo Prophecy,untested,untested,untested,supported,untested,untested,playable,untested,playable,untested,untested,unplayable,"/u/maty15987, HERSXYBACON, Zekepliskin","Game is highly playable and will actually hold 60FPS in a lot of sections, even with the Xbox 360 set to output 1080p, and the game defaults to about a 14:9 widescreen presentation.  PS2 version, by comparison, struggles to maintain 30FPS and has a much more awkward tank controls setup so this is the better version."
IndyCar Series,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
IndyCar Series 2005,intro,playable,supported,playable,intro,playable,playable,playable,playable,playable,playable,playable,"Nadaman, RollPlayStation","Requires conversion to a Game on Demand with padding intact (although partial trim still works fine) in order to not have a ""dirty disc"" error. Tools like iso2god-rs allow for this. Original xefu and xefu1_1 will freeze the console after the game's intro if you try to start it, but all other xefus appear to be playable with no noticible flaws."
I-Ninja,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,"ItsAshleyFTW, RollPlayStation",None
Innocent Tears,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,playable,Broken Scholar,None
Inside Pitch 2003,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/JazzyQTravels,None
Intellivision Lives!,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
International Superstar Soccer 2,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Iron Phoenix,untested,untested,untested,untested,intro,untested,intro,untested,untested,untested,untested,intro,Sunnie64,It shows opening logos then kicks you back to the xbox with a error for a brief second
Jacked,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Jade Empire,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
James Bond 007: Agent Under Fire,playable,playable,in-game,in-game,playable,in-game,in-game,in-game,untested,untested,untested,playable,"LazyIllusion, willindiana, OddbOd","Game speed issue is fixed using xefu,xefu2 or xefu1_1. Driving and Rail Shooting levels have missing audio. Mediterranean Crisis level doesn't work."
James Bond 007: Everything or Nothing,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,playable,/u/DarylWise,"Gets stuck loading some missions. Using 100% save file and choosing a level, all levels work with occasional slow downs and minor texture issues. Driving levels physics are bugged causing high driving speeds with easy civilian crashes or vehicle damage."
James Bond 007: Nightfire,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,in-game,untested,untested,in-game,"/u/DarylWise, OddbOd (reported NTSC version not working), LazyIllusion",Recommended to use a 100% save file driving missions do not work and crash all none driving missions work with some slowdown
James Cameron’s Dark Angel,supported,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Stikmars,None
Jaws Unleashed,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Jikkyou World Soccer 2002,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Jockey’s Road,untested,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,Imadummy,Freezes at title screen
JSRF: Jet Set Radio Future,menus,menus,menus,menus,menus,menus,supported,playable,playable,playable,playable,playable,"subrussian, Wolf","xefu6 and earlier: Glitched audio and black screen when in-game. xefu7 and newer: Big slowdowns in a few areas, otherwise very playable."
Judge Dredd: Dredd VS Death,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,Slowdowns and slightly distracting ground and wall flickering during gameplay.
Juiced,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Jurassic Park: Operation Genesis,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/maty15987,None
Just Cause,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Unknown,Can’t fire
Justice League Heroes,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,RollPlayStation,"Text still appears when scrolling through the upgrade menu screen. There are performance drops during gameplay, and some texture issues."
Kabuki Warriors,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Kakuto Chojin,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,playable,"/u/maty15987; Imadummy, Sunnie64","Runs at half framerate in some stages. Crashes the console after around 10 minutes of gameplay, issues seen to be fixed on xefu2021c"
Kameo - Elements of Power,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Imadummy,04-04-29 proto fatal crashes constantly on the Xbox logo. 04-10-01 proto starts fine but freezes when the inner door in the cave opens.
Kao the Kangaroo Round 2,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Karaoke Revolution,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,szymmirr,"Smooth gameplay, doesn't stutter as opposed to Karaoke Revolution Party"
Karaoke Revolution Party,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,"@Hamiltron#2183, szymmirr","Stutters terribly, ruining the game experience, but technically playable"
Kelly Slater’s Pro Surfer,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Kikou Heidan J-Phoenis Plus,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
kill.switch,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,Unknown,None
King Arthur,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,RollPlayStation,Minor video stuttering occurs during FMVs.
King of Fighters: Maximum Impact: Maniax,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,unplayable,"/u/RDR007; Imadummy, Persephone the Sheep",Game plays normally. On xefu2021c freezes on xbox logo.
Kingdom Under Fire: Heroes,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
Kingdom Under Fire: The Crusaders,untested,untested,untested,untested,untested,untested,supported,untested,untested,untested,untested,untested,Unknown,None
"Knight’s Apprentice, Memorick’s Adventures",untested,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,Stikmars,Hard crash on loading screen.
Knights of the Temple II,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Knights of the Temple: Infernal Crusade,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Knockout Kings 2002,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Kung Fu Chaos,untested,untested,untested,untested,untested,untested,playable,in-game,playable,untested,untested,playable,"ItsAshleyFTW, Derf","Screen is displayed twice side-by-side unless using xefu2019, xefu2021c, or Config Loader xefu7."
L.A. Rush,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Unknown,Low FPS
Lamborghini (Unreleased),untested,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,unplayable,thunder_gun1,On xefu2021c an error shows up for a second and then freezes on xbox logo. Works perfectly on xefu7b
Land of the Dead: Road to Fiddler’s Green,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
Largo Winch: Empire Under Threat,untested,untested,untested,untested,untested,untested,intro,untested,untested,untested,untested,untested,Stikmars,"Black screen upon entering gameplay, only some HUD elements are visible."
Legacy of Kain: Defiance,intro,intro,intro,intro,intro,intro,intro,intro,intro,intro,intro,intro,"LazyIllusion, OddbOd, Gora","Black screen after Xbox logo screen. With the newest xefu version's aka xefu 2019, xefu 2021a-b-c, at the Xbox logo an error message show's up, then freeze the process. Tested on both EU and US versions."
Legends of Wrestling,untested,untested,untested,untested,untested,untested,unplayable,untested,untested,untested,untested,untested,Unknown,Fatal crash
Legends of Wrestling II,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
LEGO Star Wars: The Video Game,untested,untested,supported,untested,untested,untested,playable,untested,untested,untested,untested,untested,LazyIllusion,None
LEGO Star Wars II: The Original Trilogy,untested,untested,untested,supported,untested,untested,playable,untested,untested,untested,untested,untested,LazyIllusion,None
Leisure Suit Larry: Magna Cum Laude,untested,untested,untested,supported,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Lemony Snicket’s A Series of Unfortunate Events,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Links 2004,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
LMA Manager 2003,untested,untested,untested,untested,untested,untested,intro,untested,untested,untested,untested,untested,"Imadummy, szymmirr",Hangs on Xbox logo on NTSC console. Hangs on loading screen on PAL console.
LMA Manager 2004,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,"Imadummy, szymmirr",Hangs on Xbox logo on NTSC console. Playable on PAL console (match view is at low framerate if you watch at regular speed; press X to speed it up)
LMA Manager 2005,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,"Imadummy, szymmirr",Hangs on Xbox logo on NTSC console. Playable on PAL console (match view is at low framerate if you watch at regular speed; press X to speed it up)
LMA Manager 2006,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,"Imadummy, szymmirr",Hangs on Xbox logo on NTSC console. Playable on PAL console (match view is at low framerate if you watch at regular speed; press X to speed it up)
Loons: The Fight for Fame,supported,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,untested,RollPlayStation,None
Mace Griffin Bounty Hunter,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,"Don’t press START or game will crash. After reloading levels, everything is OK"
Mad Dash Racing,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Imadummy,NTSC versions freeze shortly into the race. PAL version plays normally
Madagascar,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Vidya,"Unable to save game data and if you get hit & vibration is on, the controller will always vibrate until you quit the game"
Madden NFL 06,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,@Mitch1256#1835,FPS issues. Causes game to often run in slow-mo.
Madden NFL 07,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,/u/Wearetakingover,Low FPS (~15fps) when all players on the field
Madden NFL 08,untested,untested,untested,untested,untested,untested,in-game,untested,untested,untested,untested,untested,Stikmars,"Low FPS, slow downs in-game."
Madden NFL 09,untested,untested,untested,untested,in-game,untested,playable,untested,in-game,untested,untested,in-game,Sunnie64,"Very slight stutter on the EA sports logo on all xefus, xefu7 lags a little when teams get into formation, Xefu2021c plays slightly worse, Xefu2019 commentary is garbled, Xefu1_1 audio is fine but has major lag in menus and flickers on loading screen."
Madden NFL 2002,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/JazzyQTravels,None
Madden NFL 2003,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,/u/JazzyQTravels,None
Madden NFL 2004,untested,untested,untested,untested,untested,untested,playable,untested,untested,untested,untested,untested,Unknown,None
