Title(s),Notes/Reasons,Developer,Publisher
Dante,"3rd person ""shooter"", playing as a firefighter with special equipment and being part of a TV show. Only a non playable concept demo was produced before the game was cancelled. [ 261 ]",ACeS Studio,Microsoft
Daredevil: The Man Without Fear,"A video game adaption of the Daredevil franchise was in development and scheduled for release on the Xbox and PlayStation 2 in early 2004. The player would control Daredevil himself in a third person beat em up, while the story was an adaption of the Elektra Lives Again storyline. The game experienced a troubled development cycle, including game engine and scope changes, and Sony making requests to implement Tony Hawk's Pro Skater -styled grinding gameplay mechanics. Overall franchise owner Marvel disapproved of the changes and state of the game, and cancelled it in 2004. An early playable build leaked onto the internet in 2023. [ 262 ] [ 263 ]","5,000 Ft Studios",Encore Inc
Dave Carman's Pro Golfer,"The existing of this game is questionable, do to none existing traces of the developer / publisher! Planned golf game during the Tony Hawk Pro Skater crisis. [ 264 ] Do to a deleted Wikipedia article the game should include Pebble Beach & St. Andrews. [ 265 ] A backed up version of Lists of Xbox games list this game as a 2005 release. [ 266 ]",Swadosoft Games,Swadosoft Games
Dave Mirra Freestyle BMX 4,"Early Prototypes, dated Nov 8, 2002, of an fourth installment of the Dave Mirror series game found in 2023 by ObscureGamers & Borman . [ 267 ] [ 268 ] [ 269 ]",Acclaim,Acclaim
David Douillet Judo,"Judo game with 2 times olympia winner David Douillet announced for Xbox, PlayStation 2, GameCube and PC in January 2006 for a Q2 2006 release. [ 270 ] It was later delayed to September 2006. [ 271 ] By September 2006 the Xbox version got cancelled. In the end only the PS2 and PC version were released between 2006 and 2008. [ 272 ]",10TACLE Studio,Bigben Interactive
Deadlands,"3rd person action horror game in the wild west based on the tabletop game. The game was announced first in 2001 for Xbox, PlayStation 2 and PC. [ 273 ] [ 274 ] A PS2 build dated July 14, 2004 surfaced on December 9, 2006. [ 275 ]",Headfirst Productions,
Deadlight,"A first person shooter that was in development for PlayStation 2, Xbox and GameCube. [ 276 ] In March 2005 the studio shut down and the game was cancelled. [ 277 ] A playable demo of the PS2 version was leaked in 2009. [ 278 ] The games designer Jolyon Myers later designed levels for Call of Duty Modern Warfer 3 & Ghosts . [ 279 ]",Blue 52,
Dead Center,Game with an unknown genre was in development by EA before the Xbox launched. [ 280 ],Electronic Arts,Electronic Arts
Dead Justice,"3rd person action game that was in development from 2001 up to the closure of the studio in 2003 for Xbox and PC. [ 281 ] As their last action, they published all of there code they made. A prototype of the game is playable. The source code is published under BSD license and the content is published under GPL license. So anyone can use it. [ 282 ]",Cat Mother,
Dead or Alive: Code Chronus,Adventure Game in the Dead or Alive franchise in development from 2002 and shifted later tot he Xbox 360. The game was officially cancelled in 2010. IGN got a photo of a copy of the game. [ 283 ],Team Ninja,
Dead Rush,"Action-driving-horror game is a post apocalyptic theme including Zombies. A trailer was published for E3 2004 and it was planned to release in 2005 for Xbox, PlayStation 2, Gameboy Advance [ 284 ] and GameCube. [ 285 ] It was cancelled in July 2004 do to not meeting standards at Activision. [ 286 ]",Treyarch,Activision
Dead Space,"The first Dead Space game began its development on the Original Xbox. The game development went later to the Xbox 360 and the Xbox version got scrapped. Dead Space art director Ian Milham showed recorded gameplay at the Animex, games and animation festival in 2009 of that build. [ 287 ]",EA Redwood,Electronic Arts
"DEALER: Chronic, Pills & Coke","Open world game in a GTA Style announced in December 2004 for Xbox, PlayStation 2 and PC. [ 288 ] Beside known things from the GTA series the player can actually take a bunch of different drugs. [ 289 ] The website shut down around March 2005. [ 290 ]",Nagual Games,
Death Jr.,"Before announcing the game to the public as an PSP Killer App, the development started on the Xbox. Mike Mika from Digital Eclipse owns a prototype that he showed on Twitter in 2019. [ 291 ]",Backbone Entertainment,Konami
Desert Creeps,"Planned as a Resident Evil style game, the development shifted to the Wii. Do to a lack of funding the style was changed to a twinstick shooter for XBLA on the Xbox 360 and PSN. The game got cancelled dot o the closure of the studio in 2009. The game was developed with only 3 people. A playable XBLA prototype, from 2 months of development, is in the hands of SnapDragons Art Director Sönke Seidel. [ 292 ]",SnapDragon,
Deus Ex 3: Insurrection,"For a full story visit the Deus Ex Wiki Article Prequel to the original Deus Ex. pre-production began in 2004 with a do date of 2005. The game was cancelled in the planning face, when lead designer Warren Spector left Iron Storm.",Ion Storm,Eidos Interactive
Dexter’s Laboratory Robot Rumble,"Cell-Shading licensed Robot fighting game announced for Xbox, PlayStation 2 and GameCube for Spring 2004. The game was cancelled do to the bankruptcy of the publisher. The Lost Media Wiki is on the search for a prototype. [ 293 ]",N-Space,BAM! Entertainment
Demon Warrior,Action game with memory card usage. Nothing more is known about this game [ 294 ],,"Ingram Entertainment, O~3 Entertainment"
Diddy Kong Racing Adventure,Followup games of Diddy Kong Racing. Prototypes were found in 2016 and 2020 for GameCube and Xbox. The game was pitched to Nintendo.,Climax,
Digital Hitz Factory,"also known as Music 3000 or FunkMaster Flex's Digital Hitz Factory Announced in 2002 as Music 3 for PlayStation 2 and Xbox. [ 295 ] Only the PlayStation 2 version was released. The Xbox version was cancelled late in development, so that coverart for both versions were published and online listings introduced. [ 296 ] [ 297 ]",Jester Interactive,XS Games
Dirty Work,A sandbox game. Never made it out of prototype state in 2005. [ 298 ],Ubisoft Montreal,Ubisoft
DMZ North Korea,"Military first person shooter released for PC. It was originally planned to release in 2003 along an Xbox version but the game got delayed till 2006. [ 299 ] The game was mentioned as ""The worst game of all time"" in 2007. [ 300 ]",VU Games,VU Games
DogTag,"also known as DogTag: Urban Warfare Shooter, that was in development in 2005 and announced for Xbox 360 and PC. Do to Unseen64 an original Xbox version was also planned. [ 301 ] The publisher went defunct and the whole game was cancelled on all platforms.",DiezelPower,Digital Jesters
Dominion,"Also known as PROJECT-X MMORPG announced in 2001 for PC and Xbox. [ 302 ] The game should involve a eight player party with six playable races, split in to separate types. [ 303 ] In 2002 the game was changed to an Action RPG. [ 304 ] A server world would held up to 256 players at a time. The studio lacked of funding of the game between 2002 and 2004, so that the came got cancelled. Ideas of the game were build into Guild Wars. [ 305 ]",Pharaoh Productions,Pharaoh Productions
Doomsday Rescue,"Combat racing game announced at E3 2002 for a mid 2003 release on Xbox, PlayStation 2 and GameCube. A Trailer was shown at E3 2002 behind closed doors. [ 306 ] The player is an employee of Doomsday Rescue Corp. and has to rescue VIPs from earth before it blows up. [ 307 ]",Beyond Games,Midway
Dora the Explorer: Journey to the Purple Planet,"Licensed title of Dora the Explorer, released in 2005 for the PlayStation 2 and GameCube. Do to different wikis -including Wikipedia - a Xbox version was planned but never released. [ 308 ] [ 309 ] There are none outside sourced to prove that.",Monkey Bar Games,Global Star
Downforce,"Arcade Racing game announced in 2001 for Xbox, PlayStation 2 and Gameboy Advance. [ 310 ] The game released in 2002 on PlayStation 2. The Xbox and GBA versions were cancelled. [ 311 ]",SmartDog,Titus Software
Dragon Booster,Combat Racing game based on the animated canadian series of the same name. Eden Games developed the game in 2003 during the series production for Xbox and PlayStation 2. The game was cancelled for unknown reasons. [ 312 ],Eden Games,
Dragonkind,"3D Action Adventure with RPG elements announced in April 2002 for Xbox and PlayStation 2 with a planned 2004 release. The comic book artists Joe MAdureira, Tim Donley and Greg Peterson worked on the project as a character designer. The characters were made in a manga style. [ 313 ] The game was compared to The Legend of Zelda on the N64. [ 314 ] The main hero was named Grail, he had the ability to control dragons and was evolving in the world of Vermilion.  The game was cancelled in 2002 do to a lack of funding the studio. [ 315 ] Concept art and a trailer were published. [ 316 ]",TriLunar,
Dreadnoughts,First person shooter with strategy and tactic elements announced in February 2001 for PC and Xbox. [ 317 ] Over ports to PlayStation 2 and GameCube were thought about. [ 318 ] The player is a crew member of a ship called Deadnought. The Crew members must work together to survive battles with competing Dreadnoughts. The development stopped in 2002 and the website was shut down in Spring of 2003. do to not finding any publisher for the game. [ 319 ] [ 320 ],Xenopi Studios,
Drive by,,,
Driven,"Licensed game of the movie starring Silvester Stallone released in 2001 for PlayStation 2 and in 2002 for GameCube. An Xbox version was planned but cancelled late in development, so that the Xbox version got listings. [ 321 ]",BAM! Studios Europe,Bam Entertainment
Drome Racers,"Lego Racing game released in 2002 for PC, PlayStation 2 and GameCube. A Xbox version was announced for 2003 and outlets like Maniac.de could play prototypes. [ 322 ] [ 323 ]",Attention To Detail,Electronic Arts
"Druid King, the",Movie tie-in action adventure game. The rights were sold to make a game to the movie in November 2000 for PlayStation 2 and Xbox. An estimated release of Q1 2002 was set. [ 324 ] A few screenshots were published. [ 325 ] [ 326 ] In around October 2001 the game was renamed and reworked into Dark Shores. [ 327 ] By 2003 the game was cancelled.,Sidhe Interactive,
Duality,"Metal Gear Solid Style game announced in 2001 for PC and Xbox. In the game you control three characters: a Mercenary, a Hacker and a virtual being. [ 328 ] At E3 2002 a Trailer with gameplay was shown. [ 329 ] IGN showed more gameplay during 2002 [ 330 ] [ 331 ]",Trilobite Graphics,Phantagram
Ducati World Championship,Licensed racing game planned for Xbox and PC with a release date on 1. September 2006. The game was announced at E3 2005 [ 332 ] The came contains 70 different vehicles and over 30 different tracks. The Xbox version was cancelled shortly before release. [ 333 ] Screenshots of the Xbox version were released. [ 334 ],Artematica,Artematica / dtp
Duke Nukem Forever,You all know. No description needed.,3D Realms,
Dynamite Deka 2: Pirates of the Caribbean (ダイナマイト刑事2 カリブの海賊編 ),also known as Dynamite Cop (Dreamcast title in the west) Port of Dreamcast/Arcade title 1998 beat em up game. The port was announced in 2002 and never heard of again. [ 335 ] The game itself is a sequel to the Die Hard Arcade Game.,AM1,Cool Cool
Earthworm Jim (2003),"New entry in the Earthworm Jim series, it was cancelled shortly after pre-production for being to risky for Interplay at the time. The game would be a 3D sidescroll shooter similar to Donkey Kong Jungle Beat : 3D. [ 336 ] [ 337 ]",Interplay,
Ecks vs. Sever,Also known as Ballistic: Ecks vs. Sever - not to be confused with the also unreleased game Ballistics First person shooter tie-in game for a movie that was in development from 2002 on. The game was shown at E3 2002 and was to 45% finished. It ran on the Cobalt engine. The game included complex body physics. [ 338 ] The game was cancelled in February 2003 do to low rates of the film and quality problems of the game. [ 339 ] [ 340 ],Zombie Studios,Bam! Entertainment
Eisei Meijin VI (永世名人VI),"Shogi game released in Japan in February 2002 for PlayStation 2 and GameCube. [ 341 ] An Xbox Version was planned but cancelled. It is the tenth entry in the Eisei Meijin series. The game has a database of around 300,000 opening moves and used online play on PlayStation 2 and GameCube. People had to join the ""Internet Shogi Dojo"" operated by Shogi Club 24. [ 342 ]",Konami,Konami
Emergency Mayhem,"Racing action game originally planned to release on the Xbox and PlayStation 2. The game is in a similar style as Crazy Taxi. The game was announced at E3 2004 [ 343 ] but cancelled later that year when Acclaim went bankrupt.  Acclaim released a trailer. [ 344 ] In 2019 a build of the game was found. [ 345 ] In 2007 Codemasters acquired the rights to the game and released it in 2008 on the Wii. [ 346 ] SuperSonicSoftware finished the development of the title. [ 347 ] [ 347 ] The game was nominated for the ""Worst game of 2008"" by Gamespot [ 348 ]",Acclaim Studios Cheltenham,Acclaim
Enclave 2,"Enclave 2 was announced in March 2003 for Xbox, PlayStation 2, GameCube and PC. [ 349 ] New features would have been playing the story in coop. It would have featured 10 characters, over 100 weapons and 28 levels. [ 350 ] The title was reworked into Knights of the Temple a few months after the announcement. [ 351 ]",Starbreeze,Starbreeze
Enemy in Sight,Fictional war shooter with over 100 square kilometer maps. [ 352 ] The game was in development since 2000 and announced in March 2005 for a release date in Q1 2006. [ 353 ] [ 354 ] It was planned as a successor of the Hidden & Dragon series. [ 355 ] The game was planned for Xbox and PC. It was 2/3 finished at the end of 2005. The game was in development till 2K bought the company in 2008. [ 356 ],"Illusion Softworks, Pterodon",Atari
Engalus,"A dark sci-fi epic set in a Techno-Gothic future of madmen, rebels and assassins. The game was announced in 2000 and was planned for Dreamcast, PC, PlayStation 2, Xbox and GameCube. [ 357 ] [ 358 ]",Crytek,Crytek
Eon of Tears,also known as : Eon of Tears: The Bible Code or Eon of Tears - A Mystical Quest Survival Horror RPG game based on the bible. Announced in 2002 for Xbox and PC. It was shown at E3 2002 & 2003. [ 359 ] [ 360 ] It was planned to release a playable demo by fall 2002 and the game in 2004. [ 361 ] Another site stated a Xbox release date for Fall 2003. [ 362 ] By 2006 the website was abandoned till 2013 with a announcement that the Evillusion Multimedia Corporation is searching for people. The website shut down in 2015. [ 363 ] Today the website url redirect to their Facebook site. It seems like they still worked on the project in 2021. [ 364 ],Evillusion,
E-Racer,Real world driving game announced in 2000 for PC. An Xbox version was announced in October 2000. [ 365 ] By February 2001 the Xbox version was planned to come out. Footage of the Xbox Version was shown at a press event in London in January 2001. Crossplay was also considered. [ 366 ] [ 367 ] The game came out in April 2001 for PC.,Rage Software,Rage Software
E.T. The Extra-Terrestrial: The Search for Dragora,"Licensed ET puzzle game announced in May 2000 at E3 2000 for Xbox. [ 368 ] Ports for the PlayStation 2 and GameCube were also planned. The game was completed by 2003 but cancelled, because the publisher did not pay the developer for it's work. (around 1M$) [ 369 ] [ 370 ] and went bankrupt in 2005. Zed Two was bought out by Warthog games after the game was cancelled. [ 371 ]",Zed Two,ACE / NewKidCo
Evil Genius,not to be confused with the released strategy game of Elixir Studios Evil Genius was an action adventure platformer developed for the Xbox and PlayStation 2 until the closure of the studio in 2003. The development stopped in a prototype state. [ 372 ],Circus Freak Studios,Infograms /Atari
Evil of Tears,"Nothing is known about the game, other than it's name.",,
Extreme 4x4,"Racing adventure Monstertruck game announced in June 2005 for an release in September 2005. The game would be an European Xbox exclusive. [ 373 ] The game was rated 7+ and got coverart. [ 374 ] [ 375 ] The game was cancelled as late as February 2008. [ 376 ] The game was originally an Arcade game, designed for PC. In some in Sweden it would have the name ""Wild Rally"". [ 377 ]",KOG Studios,GMX Media
Extreme Force: Grant City Anti-Crime,"Also known as: Strike Force or First Strike: Grant City Anti-Crime. A spin off of the Dead to Rights games. The game was shown first at E3 2003. [ 378 ] It was planned to release the game for Xbox, PlayStation 2, GameCube and PC in Q4 of 2003. [ 379 ] In early 2004 Namco pulled the plug, do to ""time constraints"". [ 380 ] Screenshots and gameplay were released to the public. [ 381 ]",Point of View,Namco
Extreme Pool,"A pool game with extreme settings like on top of an airplane. [ 382 ] The game was announced in January 2003 for GameCube, PC & PlayStation 2. The game was completely finished for these consoles. [ 383 ] [ 384 ] An Xbox version was also planned. [ 385 ] The studio couldn't find a publisher for their game and closed in the end of 2003.",Graphic Stateon,
Falcone: Into The Maelstrom,"also known as Falcone: Enter the Maelstrom First person shooter with a space pirate theme, announced in September 2001 for a Christmas 2001 release. [ 386 ] Later it was said to be released on Xbox in December 2002 and January 2003 on PlayStation 2. [ 387 ] The story and characters were written by Jim Murray and Robby Morrison. The game was so far in development, that listings on amazon were published. [ 388 ] The game was cancelled in 2002 do to Titus bought Virgin. Titus went bankrupt one year later and the copyright on the title expired in June 2003. [ 389 ]",Point Blank,Virgin Interactive
Fallen Kingdoms,"Hack & Slash action RPG announced in July 2004 for PC and Xbox for a November 2006 release date. [ 390 ] The game takes place in Aegion and the player has to bring down Undrath, the Wraith Lord. [ 391 ] A bunch of screenshots and a trailer were published. [ 392 ] [ 393 ] Warthog was bought by the company behind Gizmondo in 2004 to develop games for them, including Fallen Kingdoms. When the Gizmondo failed and went bankrupt in 2006, the game was cancelled and the studio closed.",Warthog,Gizmondo
Fallout Brotherhood of Steel 2,"For a deep dive into this, please visit the Fallout Fandom Article and the Fallout independent Wiki Article This game is also known as Vagrant Lands [ 394 ] The development of the game started before the release of the first game and it was nearly finished. [ 395 ] The game would include story elements and characters from the cancelled Fallout 3 (known as Van Buren ) and Fallout Tactics 2 games. The game was cancelled do to financial troubles of Interplay. It was planned to release the game on Xbox and PlayStation 2.",Interplay,Interplay
Fallout Extreme,"For a deep dive into this, please visit the Fallout Fandom Article and the Fallout Indipendent Wiki Article Fallout game that was in production in 2000, with a setting a century after the Great War. It was planned to release in 2002. Microsoft/Interplay rejected the project and it never came out of the ealry development stage. [ 396 ]",14° East,Interplay
Fallout Project (2004),"During a conference in April of 2004 Interplay CEO Herve Cean announced a new game in the Fallout series for Xbox. An RPG that had nothing to do with the released Brotherhood of Steel game, that was in active development with an estimated release of 2005. [ 397 ]",,Interplay
Family Feud,"Licensed game of the TV show released in October 2006 for PlayStation 2, PC and GBA. [ 398 ] An Xbox version was planned but never saw the light of day. [ 399 ]",Atomic Planet,"Ingram Entertainment, Global Star"
Farnation,"MMORPG announced by Sega in 2000 for the Dreamcast. The concept of the game described by Sega sounds similar to Minecraft or Sim City. It was planned to release on the Dreamcast in 2001. [ 400 ] At E3 2001 Sega announced the cancellation of the project for the Dreamcast and going to the Xbox. [ 401 ] A Prototype was confirmed to exist in 2008, dated December 2001. [ 402 ]",Sega,Sega
"Fast and the Furious, The","Movie Ti-In game based on the first movie it was announced in June 2002 for PlayStation 2, Xbox and Gameboy Advance. [ 403 ] The game was presented wit a playable demo at E3 2003 with a planned release date of November 2003. [ 404 ] In parts of Europe the game got adds on the back of the Hulk movie game manual on Xbox. [ 405 ] A trailer, gameplay and screenshots were released to the public. [ 406 ] The game was cancelled when Universal Interactive shut down in 2003.",Genki,VU Games / Universal Interactive
"Fast and the Furious, The",Another ti-in game based on The Fast and the Furious: Tokyo Drift that actually released in 2006 for PlayStation 2 and PSP. An Windows and Xbox version were planned but cancelled during development. [ 407 ] In 2023 a prototype of the Xbox version was discovered. [ 408 ],Eutechnyx,Bandai Namco Games
"Fate, The",MMORPG announced in February 2001 for Xbox as an online only game with a planned release date of Winter 2002/Spring 2003. [ 409 ] [ 410 ] The game would take place in the land of Nocea. The player should join one of four kingdoms and become Head of State at some point and take over the whole land. [ 411 ] The game would include 12 classes 84 professions and 5 different skill sets. [ 412 ] The game was worked on since 2000 but the studio shut down by the end of 2001 do to the lack of a publisher and funding. [ 413 ] A RPG named Fate was released in 2003 by Tronwell. [ 414 ],Epix Interactive Studios,
Fate of Ages,RPG announced in June 2004 for PC and Xbox. [ 415 ] The game was shown at E3 2004. It includes time traveling between six different time periods. [ 416 ] The game could not find a publisher and was cancelled when Onisoft went defunct in 2006. [ 417 ] Development restarted in May 2011 for an September 2012 release and money was collected via IndiGoGo by David Hawes but failed to reach their goal. [ 418 ] Trailers for both version were released. [ 419 ] [ 420 ],Onisoft,
Fatherdale: Guardians of Asgard (Всеслав Чародей),"This game is also known as Warlock Vseslav: Sword of Fire & Vseslav: Druzhina For a deep dive into this visit the Igro Wiki Article (in Russian) or this article covering the whole story around the game. RPG set in medieval northern Europe in 1072 AD announced in 1997 as Warlock Vselav: Swords of Fire for PC. [ 421 ] In 2001 the games name was changed and announced for the Xbox. [ 422 ] It was planned to release in 2002. [ 423 ] The game includes a very intensive skill system and accurate weapons choices of the time. A child friendly version with a Moomins license was announced in 2003. [ 424 ] The game was a big deal inside Russia, even comics were made about it and its universe. [ 425 ] A trailer and gameplay were released to the public. [ 426 ] [ 427 ] The game ceased production in 2003 while Beta testing. The website stayed up till 2012. [ 428 ]",Snowball Interactive,Snowball Interactive
Fear & Respect,"Open world game starring Snoop Dogg as a playable character named Goldie, living in LA. Goldie came out of prison and wants to turn its life around. It was announced by Snoop Dogg, who was deeply involved creating the story, at the Spike Video Game Awards 2004 and a trailer was shown. [ 429 ] [ 430 ] It was planned to release in 2005 for Xbox and PlayStation 2. [ 431 ] A nearly identical Trailer was shown at E3 2005. [ 432 ] Midway also announced a movie to that game. [ 433 ] The game was cancelled after many delays on 1. March 2006 do to data analytics saying that the ""hood thing is dead"". [ 434 ] [ 435 ]",Edge of Reality,Midway
Fear Factor: Unleashed,"Licensed game of the show. It was announced by ARUSH Entertainment for PC, Xbox PlayStation 2 and GameBoy Advance in 2003 with a 2004 release date. [ 436 ] The game featured a mix of 3rd person platforming levels, vehicle based levels and special button press ‘eating’ levels to match the TV show. The game made an appearance at E3 2005 [ 437 ] but was cancelled because the publisher HIP went bankrupt in shortly after. [ 438 ] [ 439 ] In 2015 a prototype was found and made public in 2020. [ 440 ] [ 441 ]",DC Studios / Playinteractive,Hip Interactive / Ingrim Interactive / ARUSH Entertainment
Fighting Force 3,"Cancelled sequel of Fighting Force 2 for Xbox, PlayStation 2 and GameCube in development between 2002 and 2003. [ 442 ] The game was cancelled do to the quality failure of Tomb Raider: The Angel of Darkness an the resulting cut of funds of Eidos for Core Design. [ 443 ] Character designs were leaked online in 2016. [ 444 ] A playable build of the game was found and shown online in 2017. [ 445 ]",Core Design,Eidos
Final Armada,"Vehicle shooter released between 2006 and 2007 on the PlayStation 2 and PSP. The game was announced in August 2005 with a planned release date of Q1 2006. [ 446 ] [ 447 ] It was planned to release the game also on Xbox, PC and GameCube. By early 2006 only 3 people worked on the game. The Xbox and GameCube versions were cancelled, do to when a publisher was found, he was only interested into a PS2 and PSP port. Testing of the game was still done on the Xbox version and changes applied to the PS2 & PSP afterwards. [ 448 ] It is unclear where the Xbox prototype ended up.",I-Imagine Interactive,Virgin Play /
Fish Eyes 3: Kikou no Hahentachi (FISH EYES 3 ～記憶の破片たち～),"Fishing simulator game, planned to release on Xbox and PlayStation 2 in 2003. [ 449 ] The game released as a Japanese only game on PlayStation 2 in 2004. [ 450 ]",Victor Interactive,Marvelous Entertainment
Fishing Live Online,"Fishing Game with online focus, announced by Microsoft at the Tokio Game Show 2002. [ 451 ] [ 452 ] A trailer of the game and screenshots were published. [ 453 ] [ 454 ] It was planned to release the game at the beginning of 2003. [ 455 ] An international release was planned for 10. June 2003. [ 456 ] The game would feature 10 different kinds of fish, realistic enviornments and even boss fish. When more players would gather at the same spot, it was planned to increase the difficulty of catching fish.  At the beginning of 2003 Microsoft shut the official site down. [ 457 ] Music for the game was produced by Mitsuhiro Kaneda. [ 458 ] Parts of the game were included in Pro Fishing Challenge.",Opus,Microsoft Games Studios
Fist Firehead,A plattformer The game was rejected by Microsoft do to the game being to bad. [ 459 ] Gameplay of a build was published in 2007 [ 460 ] In 2023 a prototype was leaked. [ 461 ],Beenox,Majesco
Flow: Urban Dance Uprising,"Rhythm game originally announced as ""Get on da Floor"" in May 2004 by Eidos as a follow up to ""Get on da Mic"" for Xbox and PlayStation 2. [ 462 ] In 2005 Upisoft acquired the games publishing rights and announced it under the name Flow: Urban Dance Uprising for the PlayStations 2. It released in the same year. [ 463 ]",A2M,Eidos / Ubisoft
Forsaken 2,"First Person Shooter. The game was in development as early as 2001 for PC and Xbox and a introduction video was shown at a E3, do to Patric Ward. [ 464 ] Andrew Baker was the Lead Programmer on that project for a prototype. [ 465 ] At some point it should be a PlayStation 2 game. It was cancelled when Acclaim closed the Studio in 2002. A demo version of the game was/is in the hands of SuperCD-ROM author Sabre470. [ 466 ]",Acclaim Studios Teesside,Acclaim
The Four Horsemen of the Apocalypse,"Announced in 2002 for GameCube, PlayStation 2, Xbox, and Windows, the game was cancelled when 3DO went bankrupt in 2003. Reports of reviving the project arose in 2004, but the game never released on any platform. [ 467 ] [ 468 ]",3DO,Stan Winston
Freedom Fighters 2,Announced in March 2004 at a conference with a late 2005 release date. [ 469 ] The studio was set on the Kate & Lynch game afterwards and the game was put on hold. [ 470 ],Io Interactive,Eidos Interactive
Freefall,Game set in the 22nd century in a sky city. Sister project of the also cancelled Gemini. [ 471 ],Ironworks Studio,Microsoft
Freefall 3050 A.D.,"Originally released for the NUON (a DVD player technology that allows to play 3D video games and other features) in 2000. Total Arcade Software developed an Xbox port of the game. The game was cancelled in 2004, do to the arrival of the Xbox 360 . The game was completed to 95% at the time. [ 472 ] In 2019 YouTuber Modern Vintage Gamer contacted the creator and finished programming and releasing the game. [ 473 ] The final game supports 480p and a modded console is needed to play it. The NUON technology was later used for HD DVDs.",VM Labs / Total Arcade Software,VM Labs
Fuel,"also known as Everglade Rush Started as a Hovercraft racing game. It was announced in 1999 for PC. [ 474 ] [ 475 ] A demo was published that same year. [ 476 ] In May 2001 the name was changed to Fuel, do to Midway holding the rights to the Rush series at the time and the game changed to a all vehicle racing game. [ 477 ] In June 2001 development for Xbox & Mac were announced. [ 478 ] In October 2001 Dreamcatcher was announced as the publisher. [ 479 ] By E3 2002 the game was completed to 40%. [ 480 ] Trailers were published in 2001 [ 481 ] in 2003 [ 482 ] and 2006. [ 483 ] The games last release date was 6. February 2007. [ 484 ] A few days after the release should taken place, the game was officially cancelled. [ 485 ]",Firetoad Software,DreamCatcher Interactive
Full Throttle: Hell On Wheels,"Sequel to Full Throttle, announced in May 2002 for PC and ""next gen consoles"". [ 486 ] Footage from E3 2002 of the game leaked online shortly after. [ 487 ] In April 2003 the game was re-announced for PC, PlayStation 2 and Xbox. [ 488 ] At E3 2003 a trailer was shown with a planned release date of Winter 2003 and a demo was playable. [ 489 ] The game was cancelled in August 2003 do to quality concerns by LucasArts. [ 490 ] [ 491 ]",LucasArts,LucasArts
Funkydilla,Music Mix / rhythm game announced in April 2004 for PlayStation 2 and Xbox. [ 492 ] [ 493 ] The game may be shown at E3 2004 but could not find a publisher. [ 494 ] The website of that game was shut down in 2019. [ 495 ],Zoonami,
Furious Phil,"Beat em all announced in July 2004. [ 496 ] The game was planned to play in a post apocalyptic world with Zombies. [ 497 ] The game was cancelled for all platforms beside Gizmondo, when the developer was bought by Gizmondo and that version when the Gizmondo failed. A beta version of the Gizmondo was leaked around 2007. [ 498 ]",Warthog,
Fuzion Frenzy 2,,,Microsoft
FX Racing,"Racing game announced in October 2003 for Xbox, PlayStation 2, GameCube and PC for Q1 2004. The game would have featured 30 different vehicles in total and would have allowed allow players to take each other out with a veritable arsenal of weapons including earthquakes, fireballs, timeshots, and cyclones. [ 499 ]",Milestone,
G,Multiplayer hover-bike game that was in development from late 2002 till late 2003. The game was cancelled do to Mech Assault 2: Lone Wolf . A short video found its way online. [ 500 ] [ 501 ],FASA Studios,
G.I. Joe: Operation Ultra,"Game of the G.I. Joe franchise, that was in development for Xbox, PlayStation 2 and GameCube. The game broke down into sixteen separate missions of 4 acts each. In 2018 a developer shared details and design documents. The game was cancelled before a prototype could be made. [ 502 ]",Radical Entertainment,
Gaia Blade,"Real Time Stratagy RPG, announced in August 2001 with a planned release in 2002. [ 503 ] The game would have been a Xbox Live launch title in Japan. [ 504 ] Screenshots and a Trailer was published. The game disappeared without a trace shortly after. [ 505 ] [ 506 ]",From Software,From Software
Game of Death,"Horror Game announced in October 2000 for PC. [ 507 ] The game made in cooperation with Horror book author Jörg Buttgereit. [ 508 ] In PC Joker Magazin Issue 01/2001 a trailer of it was shown, that shows how the ""Lifebar"" of the game works. It was planned to release it in the End of 2001. [ 509 ] The game would include real life mass murders like Fritz Haarmann, Charles Manson or Jeffrey Dahmer. In July 2001 it was negotiated to release the game on Xbox, PlayStation 2 and Mac. [ 510 ] The website shut down in late 2005. [ 511 ]",Burns Entertainment Software,
Galactic Command: KnightBlade,"also known as KnightBlade - Line Of Defense , Galactic Command - Excalibur The game was announced in 2004 for PC and Xbox as KnightBlade - Final Fight. [ 512 ] It was an combat-action game that follows the crew of the GCV-KnightBlade. The game was in development since 2003. [ 513 ] It was planned to release in fall 2005. By January 2006 the game was renamed and announced for PC and Xbox 360. [ 514 ] One year later the game was renamed and planned for 2007. [ 515 ] In 2008 it was again renamed with a planned release date in 2009. [ 516 ] [ 517 ] Parts of the game was implemented into Galactic Command: Echo Squad [ 518 ] Promotional pictures were released for the Xbox and Xbox 360 versions of the game. [ 519 ] [ 520 ]","3000AD, Inc.",
Gander Mountain's Trophy,"also known as Gander Mountain's Trophy Hunter: 2006 Season Licensed hunting game. Gander Mountain was a hunting/outdoor/fishing store chain. At some point in development Gander Mountain revoked the license and the game was reworked in to Bass Pro Shops: Trophy Hunter 2007 . [ 521 ] The game was rated T by the ESRB [ 522 ] and implemented is some form to an B2B system, do to multiple online stores have listings of the game. A sequel  for a 2007 season was also planned. [ 523 ]",Jarhead Games,Vivendi
